adduser 3.134
liblz4-1:amd64 1.9.4-1
liblzma5:amd64 5.4.1-0.2
libmd0:amd64 1.0.4-2
libmnl0:amd64 1.0.4-3
libmount1:amd64 2.38.1-5+deb12u1
libmpfr-dev:amd64 4.2.0-1
libncursesw6:amd64 6.4-4
libnettle8:amd64 3.8.1-2
libnewt0.52:amd64 0.52.23-1+b1
libnftables1:amd64 1.0.6-2+deb12u2
libnftnl11:amd64 1.2.4-2
libp11-kit0:amd64 0.24.1-2
libpam-modules:amd64 1.5.2-6+deb12u1
libpam-modules-bin 1.5.2-6+deb12u1
libpam-runtime 1.5.2-6+deb12u1
libpam0g:amd64 1.5.2-6+deb12u1
libpcre2-8-0:amd64 10.42-1
libpopt0:amd64 1.19+dfsg-1
libproc2-0:amd64 2:4.0.2-3
libqt5core5a:amd64 5.15.8+dfsg-11+deb12u2
libqt5gui5:amd64 5.15.8+dfsg-11+deb12u2
libreadline8:amd64 8.2-1.3
libseccomp2:amd64 2.5.4-1+deb12u1
libselinux1:amd64 3.4-1+b6
libsemanage-common 3.4-1
libsemanage2:amd64 3.4-1+b5
libsepol2:amd64 3.4-2.1
libslang2:amd64 2.3.3-3
libsmartcols1:amd64 2.38.1-5+deb12u1
libss2:amd64 1.47.0-2
libssl-dev:amd64 3.0.13-1~deb12u1
libssl3:amd64 3.0.13-1~deb12u1
libstdc++6:amd64 12.2.0-14
libsystemd-shared:amd64 252.26-1~deb12u2
libsystemd0:amd64 252.26-1~deb12u2
libtasn1-6:amd64 4.19.0-2
libtbb-dev:amd64 2021.8.0-2
libtext-charwidth-perl:amd64 0.04-11
libtext-iconv-perl:amd64 1.7-8
libtext-wrapi18n-perl 0.06-10
libtinfo6:amd64 6.4-4
libtirpc-common 1.3.3+ds-1
libtirpc3:amd64 1.3.3+ds-1
libudev1:amd64 252.26-1~deb12u2
libunistring2:amd64 1.0-2
libuuid1:amd64 2.38.1-5+deb12u1
libxtables12:amd64 1.8.9-2
libxxhash0:amd64 0.8.1-1
libzstd1:amd64 1.5.4+dfsg2-5
links 2.28-1+b2
locales 2.36-9+deb12u7
login 1:4.13+dfsg1-1+b1
logrotate 3.21.0-1
logsave 1.47.0-2
lsb-release 12.0-1
mawk 1.3.4.20200120-3.1
mount 2.38.1-5+deb12u1
nano 7.2-1+deb12u1
ncurses-base 6.4-4
ncurses-bin 6.4-4
net-tools 2.10-0.1
netbase 6.4
nftables 1.0.6-2+deb12u2
nodejs 18.19.0+dfsg-6~deb12u2
npm 9.2.0~ds1-1
osm2pgrouting 2.3.8-2
passwd 1:4.13+dfsg1-1+b1
perl-base 5.36.0-7+deb12u1
pgadmin4-web 8.9
postgresql-16 16.3-1.pgdg120+1
postgresql-16-ogr-fdw 1.1.5-1.pgdg120+1
postgresql-16-pgrouting 3.6.2-1.pgdg120+1
postgresql-16-pointcloud 1.2.5-1.pgdg120+1
postgresql-16-postgis-3 3.4.2+dfsg-1.pgdg120+1
postgresql-16-postgis-3-scripts 3.4.2+dfsg-1.pgdg120+1
postgresql-common 261.pgdg120+1
procps 2:4.0.2-3
python3 3.11.2-1+b1
python3-dev 3.11.2-1+b1
python3-pip 23.0.1+dfsg-1
python3-venv 3.11.2-1+b1
python3.11-venv 3.11.2-6+deb12u2
qtchooser 66-2
readline-common 8.2-1.3
sed 4.9-1
sensible-utils 0.0.17+nmu1
sudo 1.9.13p3-1+deb12u1
systemd 252.26-1~deb12u2
systemd-sysv 252.26-1~deb12u2
sysvinit-utils 3.06-4
tar 1.34+dfsg-1.2+deb12u1
tasksel 3.73
tasksel-data 3.73
tzdata 2024a-0+deb12u1
udev 252.26-1~deb12u2
usr-is-merged 37~deb12u1
util-linux 2.38.1-5+deb12u1
util-linux-extra 2.38.1-5+deb12u1
vim 2:9.0.1378-2
vim-common 2:9.0.1378-2
vim-tiny 2:9.0.1378-2
wget 1.21.3-1+b2
whiptail 0.52.23-1+b1
zlib1g:amd64 1:1.2.13.dfsg-1
